Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.653809040497705,0.873145474662078,1.26418517603441,0,0,0,0.548525050441065,0.000727092400643311,-2.93889571518898E-09,2.57971209427987E-12,0.000771951584231039,-9.86794333018264E-06,0.00119444974126075,0,0,0,0,0,0,package://divar113vhw/meshes/base_link.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://divar113vhw/meshes/base_link.STL,,base_link.step-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.000316041156602331,-0.0478633722185907,0.127801986519159,0,0,0,0.922148821019917,0.0034051953642706,-1.78675785401642E-05,7.15358834470091E-06,0.00265325140752611,0.000479908967384109,0.00211200002201519,0,0,0,0,0,0,package://divar113vhw/meshes/link1.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://divar113vhw/meshes/link1.STL,,link1.step-1,Origin_joint1,Axis_joint1,joint1,revolute,0.65381,-1.2885,0.8759,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
link2,0.0814670380277331,-0.0733606819301097,-4.40278635771563E-09,0,0,0,0.903704144700498,0.00166377737338398,0.000469638811794735,-4.29741160122483E-10,0.0037079288523545,-8.05868592057105E-10,0.00398041839495488,0,0,0,0,0,0,package://divar113vhw/meshes/link2.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://divar113vhw/meshes/link2.STL,,link2.step-2,Origin_joint2,Axis_joint2,joint2,revolute,0,-0.12475,0.1461,0,0,0,link1,0,1,0,0,0,0,0,,,,,,,,
link3,0.0847506963294419,-6.18839712354102E-05,0.0281660258771604,0,0,0,0.73697981164395,0.00196161935442481,8.68381674460751E-07,-0.000380640160220432,0.00248763473683309,2.05179353987983E-06,0.00158868349585124,0,0,0,0,0,0,package://divar113vhw/meshes/link3.STL,0.537254901960784,0.537254901960784,0.537254901960784,1,0,0,0,0,0,0,package://divar113vhw/meshes/link3.STL,,link3.step-1,Origin_joint3,Axis_joint3,joint3,revolute,0.18375,-0.08225,0,1.5708,0,0,link2,1,0,0,0,0,0,0,,,,,,,,
link4,0.0392266384247651,7.00211963089448E-05,0.0910530278085758,0,0,0,0.479741395262082,0.000901136028269247,-5.02969169913357E-07,-0.000325960685618387,0.00163707674119388,-4.25583290565581E-07,0.00119911552577643,0,0,0,0,0,0,package://divar113vhw/meshes/link4.STL,0.537254901960784,0.537254901960784,0.537254901960784,1,0,0,0,0,0,0,package://divar113vhw/meshes/link4.STL,,link4.step-1,Origin_joint4,Axis_joint4,joint4,revolute,0.10025,0,0.10965,0,0,0,link3,0,0,1,0,0,0,0,,,,,,,,
link5,0.0606799215849343,-0.000157629919758984,-0.000258127935909958,0,0,0,0.150507301935239,0.000124630145817751,1.3271439518419E-06,2.41346484411778E-06,0.00035201610759767,5.42848147543377E-07,0.00035187579723095,0,0,0,0,0,0,package://divar113vhw/meshes/link5.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://divar113vhw/meshes/link5.STL,,link5.step-1,Origin_joint5,Axis_joint5,joint5,revolute,0.10965,0,0.1075,2.3618,0,0,link4,1,0,0,0,0,0,0,,,,,,,,
