Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.434320411787011,0.644967241561405,1.31922887815084,0,0,0,0.17734978279826,0.00288269610938267,-2.5804742698403E-06,-8.01724357517047E-06,0.0038798947334464,1.08325133278873E-08,0.0010088718835386,0,0,0,0,0,0,package://robot-assembly-2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot-assembly-2/meshes/base_link.STL,,bsae_link_2.step-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-0.0258531276094993,-0.00680820573011154,0.0126507305472758,0,0,0,0.177350383410163,0.0031215103277362,-0.000307921926983507,-0.000658327715827354,0.00408626563972205,0.000150675218302736,0.00209825677327247,0,0,0,0,0,0,package://robot-assembly-2/meshes/link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot-assembly-2/meshes/link_1.STL,,L1_2.step-1,Origin_shoulder,Axis_shoulder,shoulder,revolute,0.4631,-1.3191,0.65178,1.5708,0,-0.45079,base_link,0,1,0,0,0,0,0,,,,,,,,
link_2,0.00423008642461409,-0.0600047605857038,-0.218687929183889,0,0,0,0.177350383410163,0.00302421723214045,-0.000306280261461995,0.000735315793672287,0.00407248101453135,-0.000179943748886637,0.00220933449405892,0,0,0,0,0,0,package://robot-assembly-2/meshes/link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot-assembly-2/meshes/link_2.STL,,L2_2.step-1,Origin_elbow,Axis_elbow,elbow,revolute,0.15539,0.051102,0.13611,-0.016069,0.98738,-0.031062,link_1,0,1,0,0,0,0,0,,,,,,,,
